Sample	AS	ASprime	LOH_n_seg	LOH_frac_altered
TCGA-22-1016-01	22	34	32	0.4855619688054644
TCGA-22-1017-01	10	34	39	0.21047902672369773
TCGA-22-4591-01	19	72	173	0.39640499583584055
TCGA-22-4593-01	17	31	57	0.29251903419740605
TCGA-22-4594-01	23	52	96	0.26400379610978403
TCGA-22-4595-01	11	19	258	0.6033664767081179
TCGA-22-4596-01	6	7	4	0.000232693
TCGA-22-4599-01	28	31	23	0.4864774759967286
TCGA-22-4601-01	8	12	36	0.3532120672810377
TCGA-22-4604-01	21	61	0	0
TCGA-22-4605-01	22	24	11	0.2026380114419853
TCGA-22-4607-01	12	10	90	0.3113449730113469
TCGA-22-4609-01	14	17	19	0.3405901793611544
TCGA-22-4613-01	12	14	37	0.3145237475756981
TCGA-22-5471-01	19	35	33	0.2831397337825823
TCGA-22-5472-01	9	6	7	0.2281909711095336
TCGA-22-5473-01	19	38	76	0.4645200120302868
TCGA-22-5474-01	9	21	36	0.4598760174623721
TCGA-22-5477-01	16	30	53	0.3468013631047905
TCGA-22-5478-01	24	31	22	0.2789738673941774
TCGA-22-5479-01	32	25	8	0.11654349193740544
TCGA-22-5480-01	9	14	28	0.28212714171710523
TCGA-22-5481-01	15	30	42	0.25489384387135755
TCGA-22-5482-01	14	43	38	0.44483402016940177
TCGA-22-5483-01	26	23	30	0.3348166220023588
TCGA-22-5485-01	13	16	35	0.3379470062879673
TCGA-22-5489-01	11	18	47	0.4028672317356092
TCGA-22-5491-01	16	22	26	0.2184656535883511
TCGA-22-5492-01	9	16	31	0.3295536161352434
TCGA-22-A5C4-01	17	36	116	0.5955133506419333
TCGA-33-4532-01	24	52	150	0.2520762313782537
TCGA-33-4533-01	10	47	218	0.500331364
TCGA-33-4538-01	20	24	108	0.3726392468327874
TCGA-33-4547-01	13	18	169	0.3378081875146122
TCGA-33-4566-01	19	38	50	0.4534515725627003
TCGA-33-4582-01	15	40	48	0.3767743460537909
TCGA-33-4583-01	26	25	31	0.35816797064974554
TCGA-33-4586-01	24	21	46	0.4552010507571178
TCGA-33-4587-01	18	25	37	0.18430172169170905
TCGA-33-4589-01	26	59	11	0.1094378311668312
TCGA-33-6738-01	18	18	24	0.3294153228332554
TCGA-33-A4WN-01	6	14	107	0.2474075159844937
TCGA-33-A5GW-01	10	12	123	0.3823542461562651
TCGA-33-AAS8-01	10	11	133	0.356361954
TCGA-33-AASB-01	16	35	175	0.4372086620682977
TCGA-33-AASD-01	26	27	156	0.4176766198504698
TCGA-33-AASI-01	12	15	142	0.4064711406683708
TCGA-33-AASJ-01	19	31	155	0.3654703494729927
TCGA-33-AASL-01	13	19	206	0.44962562744740503
TCGA-34-2596-01	16	18	48	0.5766072067812565
TCGA-34-2600-01	19	32	36	0.4617327272734734
TCGA-34-2604-01	24	38	29	0.3687315154975089
TCGA-34-2605-01	23	53	41	0.5628571430938529
TCGA-34-2608-01	8	8	7	0.14634668749591667
TCGA-34-2609-01	18	36	51	0.2724561445456816
TCGA-34-5231-01	27	25	29	0.2931381881048739
TCGA-34-5232-01	8	5	8	0.1549210846002908
TCGA-34-5234-01	3	6	6	0.19293459053381265
TCGA-34-5236-01	17	60	24	0.3682445899331545
TCGA-34-5239-01	21	29	15	0.33997501523445384
TCGA-34-5240-01	28	27	36	0.5669008035810108
TCGA-34-5241-01	13	14	20	0.062956673
TCGA-34-5927-01	9	14	34	0.4246129964256015
TCGA-34-5928-01	27	58	71	0.5216640290382705
TCGA-34-5929-01	11	14	27	0.3836778046128989
TCGA-34-7107-01	22	29	26	0.3757394944915647
TCGA-34-8454-01	7	19	103	0.3683389790657503
TCGA-34-8455-01	24	17	41	0.2350567732544183
TCGA-34-8456-01	23	22	60	0.22984515694089025
TCGA-34-A5IX-01	27	22	194	0.4419171468344035
TCGA-37-3783-01	10	20	168	0.2452372460720892
TCGA-37-3789-01	9	14	61	0.2826376365263405
TCGA-37-3792-01	23	33	21	0.3673081726886511
TCGA-37-4129-01	4	3	3	0.1038808316086031
TCGA-37-4130-01	23	60	61	0.4143140785311035
TCGA-37-4132-01	7	10	21	0.2297374346108199
TCGA-37-4133-01	17	36	34	0.2377905758356572
TCGA-37-4135-01	25	29	100	0.4758785092180076
TCGA-37-4141-01	14	11	24	0.4195632573365694
TCGA-37-5819-01	20	31	128	0.5430003583363149
TCGA-37-A5EL-01	21	30	105	0.4236087178821433
TCGA-37-A5EN-01	18	27	82	0.28192993620784745
TCGA-39-5011-01	17	19	62	0.566382035
TCGA-39-5016-01	23	33	32	0.31627724098570714
TCGA-39-5019-01	9	22	62	0.8351609419631464
TCGA-39-5021-01	12	23	29	0.3491993706688993
TCGA-39-5022-01	7	13	11	0.3091920172917452
TCGA-39-5024-01	4	22	25	0.2695027379675359
TCGA-39-5027-01	15	13	21	0.3588069481730542
TCGA-39-5028-01	29	18	6	0.15974464455088014
TCGA-39-5029-01	16	18	74	0.4684828801655813
TCGA-39-5030-01	12	9	10	0.2336176615253468
TCGA-39-5031-01	19	26	36	0.4041712596696124
TCGA-39-5034-01	14	34	105	0.3752050976980444
TCGA-39-5035-01	17	26	40	0.2570810181203557
TCGA-39-5036-01	18	16	26	0.3933636618543117
TCGA-39-5037-01	22	63	43	0.3299251932921156
TCGA-39-5039-01	11	18	11	0.3468753350765133
TCGA-39-5040-01	15	29	29	0.35017023275187725
TCGA-43-2576-01	29	23	69	0.387438095
TCGA-43-2578-01	9	26	74	0.5848602422933235
TCGA-43-2581-01	19	20	25	0.1792347693143767
TCGA-43-3394-01	25	24	39	0.44390824835477255
TCGA-43-3920-01	20	31	39	0.3328925357876442
TCGA-43-5668-01	18	34	66	0.33366547052556456
TCGA-43-5670-01	20	35	102	0.41776083040537504
TCGA-43-6143-01	18	34	91	0.28777684246603863
TCGA-43-6647-01	9	11	27	0.3484561375934657
TCGA-43-6770-01	8	16	72	0.3579813747816142
TCGA-43-6771-01	6	12	24	0.26041064862268115
TCGA-43-6773-01	4	10	5	0.15492725570353827
TCGA-43-7656-01	13	17	47	0.40098556945551617
TCGA-43-7657-01	22	37	60	0.4424542630020755
TCGA-43-7658-01	18	30	41	0.2777314111155858
TCGA-43-8115-01	10	18	34	0.3721122922332655
TCGA-43-8116-01	12	20	55	0.4247708740040802
TCGA-43-8118-01	14	32	190	0.3122861577631045
TCGA-43-A474-01	19	37	144	0.3598006643448083
TCGA-43-A475-01	14	30	134	0.6451759873807281
TCGA-43-A56U-01	5	9	38	0.2234496054265828
TCGA-43-A56V-01	17	15	114	0.4444788004214084
TCGA-46-3765-01	15	27	60	0.3224516232022761
TCGA-46-3766-01	11	11	15	0.2361660354493625
TCGA-46-3767-01	10	21	14	0.4061616239554956
TCGA-46-3768-01	27	25	42	0.444016153
TCGA-46-3769-01	18	70	126	0.5256025066194171
TCGA-46-6025-01	19	38	98	0.6007719504010552
TCGA-46-6026-01	26	29	44	0.20553173212753484
TCGA-51-4079-01	8	10	25	0.2876339101196683
TCGA-51-4080-01	10	9	21	0.19853773167502203
TCGA-51-4081-01	17	24	26	0.292353565
TCGA-52-7622-01	14	16	31	0.3098230135520381
TCGA-52-7809-01	17	36	89	0.5450118172727738
TCGA-52-7810-01	22	24	82	0.35088884290012345
TCGA-52-7811-01	14	54	18	0.22212724921321475
TCGA-52-7812-01	7	12	41	0.2690386579495066
TCGA-56-1622-01	18	21	65	0.5044449037556452
TCGA-56-5897-01	12	11	19	0.3065409182148319
TCGA-56-5898-01	28	20	42	0.35784921392706165
TCGA-56-6545-01	20	32	39	0.4413072771203113
TCGA-56-6546-01	11	14	21	0.3038214103177627
TCGA-56-7221-01	14	18	41	0.40309210553332747
TCGA-56-7222-01	25	27	24	0.3784688747894766
TCGA-56-7223-01	20	31	52	0.3702571993632491
TCGA-56-7579-01	12	16	49	0.3005834074338416
TCGA-56-7580-01	31	21	24	0.3210473935814825
TCGA-56-7582-01	23	25	26	0.493813182
TCGA-56-7730-01	20	30	57	0.3962591364456123
TCGA-56-7731-01	10	12	6	0.1961383708696265
TCGA-56-7822-01	25	25	20	0.30343855092315103
TCGA-56-7823-01	8	16	32	0.3732228547791389
TCGA-56-8082-01	14	20	46	0.4282537082275142
TCGA-56-8083-01	8	10	23	0.2296857735030249
TCGA-56-8201-01	22	28	27	0.4586138543514456
TCGA-56-8304-01	13	15	78	0.4492002972117666
TCGA-56-8305-01	18	21	46	0.3150116740250733
TCGA-56-8307-01	26	15	28	0.21604272986975945
TCGA-56-8308-01	17	27	34	0.28846104505411024
TCGA-56-8309-01	12	11	20	0.2798246734022134
TCGA-56-8503-01	17	19	474	0.4886438816590303
TCGA-56-8504-01	27	64	115	0.4626777894640712
TCGA-56-8622-01	8	10	42	0.15990694133934544
TCGA-56-8623-01	0	0	12	0.052467742
TCGA-56-8624-01	18	16	33	0.17398446477925428
TCGA-56-8625-01	6	11	107	0.3418717021934802
TCGA-56-8626-01	14	15	85	0.24248794685934946
TCGA-56-8628-01	16	11	140	0.28388236088012897
TCGA-56-8629-01	22	31	104	0.4620258961503842
TCGA-56-A49D-01	18	22	228	0.6217201992500331
TCGA-56-A4BW-01	16	20	148	0.32202817569911785
TCGA-56-A4BX-01	17	35	55	0.32122159279502177
TCGA-56-A4BY-01	15	17	69	0.2079262879048504
TCGA-56-A4ZJ-01	9	13	52	0.25428686401946576
TCGA-56-A5DS-01	12	10	23	0.1987266817434352
TCGA-56-A62T-01	25	54	152	0.4214221841961551
TCGA-58-8386-01	20	33	43	0.3743189152143517
TCGA-58-8387-01	10	17	43	0.3147778231630812
TCGA-58-8388-01	11	13	54	0.2555151987780108
TCGA-58-8390-01	15	18	71	0.3629549630992854
TCGA-58-8391-01	14	34	104	0.2942506472194702
TCGA-58-8393-01	21	26	86	0.4150985213544122
TCGA-58-A46J-01	11	17	2	4.4918916808254774e-05
TCGA-58-A46K-01	20	19	143	0.5790564752873422
TCGA-58-A46L-01	10	16	179	0.4450056825146012
TCGA-58-A46M-01	19	70	210	0.5032199551342436
TCGA-58-A46N-01	15	16	176	0.5899161895429382
TCGA-60-2695-01	22	36	30	0.2585810500462847
TCGA-60-2697-01	1	2	19	1.1009895023020864e-06
TCGA-60-2698-01	21	61	64	0.33363303155676266
TCGA-60-2703-01	23	23	25	0.3954486213024239
TCGA-60-2704-01	27	33	27	0.4933721540553597
TCGA-60-2706-01	22	24	101	0.4515903856854753
TCGA-60-2707-01	6	6	15	0.14953717638982408
TCGA-60-2708-01	33	29	39	0.4519207455042735
TCGA-60-2709-01	31	26	14	0.3586829630582158
TCGA-60-2710-01	12	14	25	0.2752684710387442
TCGA-60-2711-01	21	30	27	0.2253793920605115
TCGA-60-2713-01	13	16	55	0.4375185380082498
TCGA-60-2714-01	25	56	38	0.43600741
TCGA-60-2716-01	0	0	19	7.952094729086023e-06
TCGA-60-2719-01	14	16	48	0.3874801491944695
TCGA-60-2720-01	13	14	18	0.4016049843688008
TCGA-60-2721-01	10	13	38	0.3016015741169861
TCGA-60-2722-01	17	27	58	0.3475163716264221
TCGA-60-2723-01	21	32	58	0.4613901988887778
TCGA-60-2724-01	11	12	35	0.3595041207342881
TCGA-60-2725-01	14	15	111	0.35925785542716665
TCGA-60-2726-01	21	34	25	0.2733170301249532
TCGA-63-5128-01	24	21	39	0.4472507651403186
TCGA-63-5131-01	16	28	85	0.3597183138994347
TCGA-63-6202-01	15	40	49	0.5389410673115108
TCGA-63-7020-01	31	24	28	0.4981946794876694
TCGA-63-7021-01	6	7	17	0.16685962434075655
TCGA-63-7022-01	4	10	8	0.2334209795599801
TCGA-63-7023-01	12	14	74	0.35561798652106263
TCGA-63-A5M9-01	19	31	162	0.5934972227439655
TCGA-63-A5MB-01	19	33	212	0.534401474
TCGA-63-A5MG-01	11	14	44	0.3876311722702929
TCGA-63-A5MH-01	19	18	122	0.586625016
TCGA-63-A5MI-01	19	32	114	0.34446186172433074
TCGA-63-A5MJ-01	23	29	76	0.2843994078080445
TCGA-63-A5ML-01	22	33	103	0.4283657382760505
TCGA-63-A5MM-01	5	8	68	0.1398543791796099
TCGA-63-A5MN-01	6	11	38	0.15662980214671834
TCGA-63-A5MP-01	13	36	87	0.34025439548476705
TCGA-63-A5MR-01	21	29	77	0.4270243726087399
TCGA-63-A5MS-01	24	43	57	0.445059027
TCGA-63-A5MT-01	9	18	87	0.3790491722796416
TCGA-63-A5MU-01	16	70	84	0.21419066863389166
TCGA-63-A5MV-01	13	22	91	0.260774303
TCGA-63-A5MW-01	19	31	115	0.1998924082300184
TCGA-63-A5MY-01	10	17	208	0.33766786155934625
TCGA-66-2727-01	15	27	105	0.229679303
TCGA-66-2734-01	14	11	11	0.31147406197966154
TCGA-66-2737-01	6	7	14	0.16970140909200288
TCGA-66-2742-01	21	26	27	0.3793245526095536
TCGA-66-2744-01	9	40	78	0.5053886871780361
TCGA-66-2753-01	18	23	23	0.2343358750192469
TCGA-66-2754-01	12	32	125	0.4331067302885292
TCGA-66-2755-01	17	26	26	0.25387964108166433
TCGA-66-2756-01	24	73	50	0.2340771071046076
TCGA-66-2757-01	15	17	35	0.3614366241981129
TCGA-66-2758-01	16	30	96	0.5178697607970592
TCGA-66-2759-01	19	37	41	0.1736298682021152
TCGA-66-2763-01	8	14	49	0.4389563675994479
TCGA-66-2765-01	10	9	17	0.21997965885071905
TCGA-66-2766-01	13	37	103	0.5157606121652294
TCGA-66-2767-01	19	32	35	0.35249413309896205
TCGA-66-2768-01	6	12	39	0.21538198266139869
TCGA-66-2769-01	20	30	40	0.20369055346510812
TCGA-66-2770-01	9	10	26	0.3448177060780309
TCGA-66-2771-01	11	14	51	0.40990799339575296
TCGA-66-2773-01	20	32	100	0.2443611863007692
TCGA-66-2777-01	27	26	128	0.3804627002039385
TCGA-66-2778-01	10	16	22	0.3747608027882472
TCGA-66-2780-01	16	17	43	0.4242296315330972
TCGA-66-2781-01	22	29	84	0.4238491897610393
TCGA-66-2782-01	13	11	38	0.2497043910578957
TCGA-66-2783-01	11	19	88	0.2970684743202072
TCGA-66-2785-01	17	31	35	0.32322149
TCGA-66-2786-01	16	13	29	0.3465015818365681
TCGA-66-2787-01	24	31	54	0.4349510894297229
TCGA-66-2788-01	12	15	38	0.3524888724062953
TCGA-66-2789-01	14	16	59	0.3340782416034657
TCGA-66-2790-01	12	13	74	0.38804387889257297
TCGA-66-2791-01	13	16	55	0.5098693156768069
TCGA-66-2792-01	23	28	44	0.4978298975497005
TCGA-66-2793-01	26	27	224	0.3892384980910375
TCGA-66-2794-01	10	20	181	0.3606681876502565
TCGA-66-2795-01	8	13	52	0.2866060431250877
TCGA-66-2800-01	24	26	167	0.490351121
TCGA-68-7755-01	14	21	49	0.34400758555909555
TCGA-68-7756-01	8	8	7	0.2300156284232097
TCGA-68-7757-01	12	14	25	0.4568317383200107
TCGA-68-8250-01	19	34	46	0.3968088138122935
TCGA-68-8251-01	24	21	47	0.3462520032827884
TCGA-68-A59I-01	15	20	144	0.5017975921233659
TCGA-68-A59J-01	19	30	131	0.4277319152186777
TCGA-6A-AB49-01	17	35	238	0.5064054871431861
TCGA-70-6722-01	22	32	42	0.4474170328167112
TCGA-70-6723-01	13	38	81	0.4586975766836799
TCGA-77-6842-01	22	34	34	0.2695526347466847
TCGA-77-6843-01	8	10	45	0.25276113466440714
TCGA-77-6844-01	11	13	22	0.2605285658361294
TCGA-77-6845-01	16	27	67	0.399648389
TCGA-77-7139-01	19	25	27	0.3042635254555059
TCGA-77-7140-01	16	38	139	0.6039488725965889
TCGA-77-7141-01	22	28	45	0.2793684984857974
TCGA-77-7142-01	20	31	71	0.4077896851034082
TCGA-77-7335-01	12	11	15	0.2264242550937168
TCGA-77-7337-01	14	17	35	0.41645055201594144
TCGA-77-7338-01	9	9	22	0.23870264972596505
TCGA-77-7463-01	26	61	33	0.3975065346873744
TCGA-77-7465-01	17	17	74	0.5271708893743238
TCGA-77-8007-01	22	33	31	0.4030353092673587
TCGA-77-8008-01	14	15	16	0.24376495172868826
TCGA-77-8009-01	24	43	150	0.3910720936366989
TCGA-77-8128-01	16	34	33	0.4782271297708067
TCGA-77-8130-01	27	26	25	0.2691093513344865
TCGA-77-8131-01	10	10	15	0.3310672097733127
TCGA-77-8133-01	21	29	18	0.222132879
TCGA-77-8136-01	14	17	33	0.5333884489981345
TCGA-77-8138-01	25	30	12	0.2874884521925084
TCGA-77-8139-01	25	28	21	0.2474758712061157
TCGA-77-8140-01	14	14	43	0.37257879337494737
TCGA-77-8143-01	20	21	28	0.3289015319046181
TCGA-77-8144-01	13	20	42	0.2431696143587342
TCGA-77-8145-01	13	15	36	0.2098385874694472
TCGA-77-8148-01	20	26	41	0.27535323854628146
TCGA-77-8150-01	21	20	23	0.30109940211659386
TCGA-77-8153-01	13	19	178	0.4395550237266129
TCGA-77-8154-01	11	14	30	0.3194889741947347
TCGA-77-8156-01	23	35	36	0.5237439633223991
TCGA-77-A5FZ-01	0	0	8	0.000369849
TCGA-77-A5G1-01	12	12	55	0.26873392380101624
TCGA-77-A5G3-01	17	33	60	0.21424634008065485
TCGA-77-A5G6-01	18	28	74	0.2766692528272777
TCGA-77-A5G7-01	13	14	76	0.32019324842348285
TCGA-77-A5G8-01	23	36	62	0.3891447098814579
TCGA-77-A5GB-01	9	11	54	0.3763386234035777
TCGA-77-A5GF-01	26	24	116	0.5069154356477671
TCGA-77-A5GH-01	15	18	120	0.4180522253536517
TCGA-79-5596-01	9	12	30	0.2654018931237581
TCGA-85-6175-01	23	33	16	0.27154236930092823
TCGA-85-6560-01	25	31	66	0.3909134272736079
TCGA-85-6561-01	12	15	24	0.3966077920323676
TCGA-85-6798-01	19	34	42	0.4320626285229792
TCGA-85-7696-01	9	14	23	0.2754505471237771
TCGA-85-7697-01	12	15	25	0.3844404860697592
TCGA-85-7698-01	8	15	39	0.3277899229369689
TCGA-85-7699-01	14	16	18	0.4055345594196755
TCGA-85-7710-01	8	12	18	0.3043759303253117
TCGA-85-7843-01	23	48	87	0.322649132
TCGA-85-7844-01	20	24	27	0.3039407200821037
TCGA-85-7950-01	26	27	65	0.456098162
TCGA-85-8048-01	9	20	19	0.3317236200634928
TCGA-85-8049-01	28	31	10	0.2354688940491487
TCGA-85-8052-01	22	25	11	0.2707644299880511
TCGA-85-8070-01	8	15	53	0.34090674727860737
TCGA-85-8071-01	11	20	62	0.4214175408659165
TCGA-85-8072-01	19	31	20	0.18059987983133768
TCGA-85-8276-01	24	29	122	0.28000973868315754
TCGA-85-8277-01	18	36	72	0.4889405368668802
TCGA-85-8287-01	20	28	45	0.3738707133773017
TCGA-85-8288-01	12	10	23	0.33135096543292714
TCGA-85-8350-01	21	25	40	0.2602145415543438
TCGA-85-8351-01	15	29	27	0.3365238741235141
TCGA-85-8352-01	17	39	187	0.4417233624066684
TCGA-85-8353-01	14	17	35	0.5049760467428862
TCGA-85-8354-01	14	33	144	0.2480183450738314
TCGA-85-8355-01	9	19	27	0.5458894581958412
TCGA-85-8479-01	10	14	98	0.3918635294427627
TCGA-85-8481-01	13	22	102	0.3957747572173418
TCGA-85-8580-01	11	17	88	0.3979954057832403
TCGA-85-8582-01	25	40	93	0.3314611820102781
TCGA-85-8584-01	7	14	107	0.17032828247834844
TCGA-85-8664-01	25	33	80	0.3875107160653072
TCGA-85-8666-01	26	30	95	0.33234140062817724
TCGA-85-A4CL-01	10	15	144	0.3068103703585865
TCGA-85-A4CN-01	15	19	164	0.5662641339500433
TCGA-85-A4JB-01	22	26	104	0.30857993268047385
TCGA-85-A4JC-01	22	16	8	0.001152599
TCGA-85-A4PA-01	0	0	16	0.001137939
TCGA-85-A4QQ-01	12	14	69	0.3336976983846957
TCGA-85-A4QR-01	23	28	125	0.42248005330732624
TCGA-85-A50M-01	21	59	108	0.3280531835749334
TCGA-85-A50Z-01	8	15	116	0.3744490341200497
TCGA-85-A510-01	23	32	58	0.3023468355504245
TCGA-85-A511-01	19	36	68	0.27375447025293936
TCGA-85-A512-01	11	18	138	0.4512231260684411
TCGA-85-A513-01	4	7	48	0.1285187864559936
TCGA-85-A53L-01	14	19	140	0.481024066
TCGA-85-A5B5-01	26	38	97	0.3448823096419943
TCGA-90-7766-01	12	11	53	0.3170014267164918
TCGA-90-7767-01	21	41	36	0.43030679839201424
TCGA-90-7769-01	17	38	31	0.3240180976929669
TCGA-90-7964-01	11	9	45	0.2884994292622314
TCGA-90-A4ED-01	17	53	32	0.084446569
TCGA-90-A4EE-01	19	17	186	0.5152552363132263
TCGA-90-A59Q-01	26	19	77	0.25856275633977194
TCGA-92-7340-01	6	14	9	0.2552964193364337
TCGA-92-7341-01	23	31	60	0.4243333808921738
TCGA-92-8063-01	14	14	54	0.3880173871640505
TCGA-92-8064-01	23	27	25	0.4677789399749463
TCGA-92-8065-01	10	13	60	0.3213542633469447
TCGA-94-7033-01	7	14	41	0.3433323441163709
TCGA-94-7557-01	28	23	70	0.3410309079481621
TCGA-94-7943-01	26	23	60	0.3195346068606452
TCGA-94-8035-01	11	9	43	0.3795682784120512
TCGA-94-8490-01	8	11	66	0.2840841263442881
TCGA-94-8491-01	7	16	141	0.4155112231229184
TCGA-94-A4VJ-01	19	39	82	0.1843345497274972
TCGA-94-A5I4-01	25	27	168	0.5261803088291399
TCGA-94-A5I6-01	26	35	82	0.3247475454296963
TCGA-96-7544-01	12	15	67	0.3952680456163934
TCGA-96-7545-01	11	14	28	0.4342537042167925
TCGA-96-8169-01	14	14	31	0.3269010912219954
TCGA-96-8170-01	12	11	17	0.1832028569192706
TCGA-96-A4JL-01	7	8	33	0.12754411632892212
TCGA-98-7454-01	16	15	13	0.5362736860263929
TCGA-98-8020-01	20	29	53	0.2633016533754547
TCGA-98-8021-01	13	16	30	0.3374144598769814
TCGA-98-8022-01	20	24	39	0.3269874955055596
TCGA-98-8023-01	19	28	35	0.5708946997696962
TCGA-98-A538-01	22	35	139	0.4129336819707735
TCGA-98-A539-01	20	25	47	0.2252544811951672
TCGA-98-A53A-01	14	15	160	0.3644076379151127
TCGA-98-A53B-01	28	29	174	0.4624600663667029
TCGA-98-A53C-01	0	0	7	0.00040554
TCGA-98-A53D-01	0	0	4	0.052000121
TCGA-98-A53H-01	0	0	9	0.001202274
TCGA-98-A53I-01	11	18	89	0.3681380044793981
TCGA-98-A53J-01	28	19	76	0.30951345966014904
TCGA-J1-A4AH-01	23	36	166	0.3392817212511726
TCGA-L3-A4E7-01	9	12	78	0.29894812290189443
TCGA-L3-A524-01	22	36	195	0.2764746152094901
TCGA-LA-A446-01	16	31	148	0.3808027722584181
TCGA-LA-A7SW-01	9	46	301	0.4754906750371122
TCGA-MF-A522-01	30	54	99	0.26650861290016004
TCGA-NC-A5HD-01	22	34	163	0.5179700633544073
TCGA-NC-A5HE-01	12	16	119	0.4370167550132661
TCGA-NC-A5HF-01	12	14	118	0.35830665013293617
TCGA-NC-A5HG-01	19	27	127	0.4048462481413701
TCGA-NC-A5HH-01	8	33	186	0.6708769323680179
TCGA-NC-A5HI-01	12	15	109	0.3916088807468162
TCGA-NC-A5HJ-01	17	35	75	0.365437667
TCGA-NC-A5HK-01	15	34	170	0.5288648691448187
TCGA-NC-A5HL-01	16	42	206	0.5478195686624989
TCGA-NC-A5HM-01	15	15	94	0.3895460618783885
TCGA-NC-A5HN-01	14	36	148	0.27902315782577153
TCGA-NC-A5HO-01	13	14	102	0.4248191562359999
TCGA-NC-A5HP-01	18	28	66	0.3488527044708588
TCGA-NC-A5HQ-01	22	41	108	0.2655110860372531
TCGA-NC-A5HR-01	17	18	139	0.489717334
TCGA-NC-A5HT-01	12	16	104	0.3476782035477434
TCGA-NK-A5CR-01	15	25	92	0.30798219134908805
TCGA-NK-A5CT-01	18	14	88	0.40724415977130396
TCGA-NK-A5CX-01	22	59	2	1.5516399697233453e-05
TCGA-NK-A7XE-01	13	23	223	0.6666518842446243
TCGA-O2-A52N-01	21	78	190	0.3927443079228056
TCGA-O2-A52Q-01	17	35	129	0.33928911104909165
TCGA-O2-A52S-01	14	17	173	0.4394739923670933
TCGA-O2-A52V-01	12	10	103	0.3310416115021248
TCGA-O2-A52W-01	28	21	56	0.34240296192078146
TCGA-O2-A5IB-01	9	12	79	0.3001730119348538
TCGA-XC-AA0X-01	19	35	104	0.3017692816073521
TCGA-P7-A5NY-01	2	1	17	0.044190101
TCGA-P7-A5NY-05	19	14	30	0.092653788
TCGA-P8-A5KC-01	0	0	6	0.00047608
TCGA-P8-A5KD-01	9	6	36	0.1414288898753645
TCGA-P8-A6RX-01	6	4	48	0.1591165395269905
TCGA-P8-A6RY-01	3	2	23	0.061192016445223936
TCGA-PR-A5PF-01	8	9	54	0.1995503995058064
TCGA-PR-A5PG-01	5	6	28	0.094601646
TCGA-PR-A5PH-01	2	2	33	0.077753931
TCGA-QR-A6GO-01	6	5	36	0.16918605476465035
TCGA-QR-A6GR-01	2	4	32	0.069321037
TCGA-QR-A6GS-01	2	3	22	0.077645283
TCGA-QR-A6GT-01	6	4	46	0.18585368445633046
TCGA-QR-A6GU-01	5	4	14	0.056168273
TCGA-QR-A6GX-01	20	17	17	0.04419435
TCGA-QR-A6GY-01	5	5	34	0.10764741669081053
TCGA-QR-A6GZ-01	23	13	26	0.1294536629355988
TCGA-QR-A6H0-01	2	2	18	0.072247516
TCGA-QR-A6H1-01	5	4	22	0.096191398
TCGA-QR-A6H2-01	1	3	25	0.057309584
TCGA-QR-A6H3-01	2	1	26	0.090483772
TCGA-QR-A6H5-01	4	2	30	0.12125278006101595
TCGA-QR-A6H6-01	5	5	41	0.15388627292986434
TCGA-QR-A700-01	25	21	608	0.2248976062912406
TCGA-QR-A702-01	3	4	44	0.11922726806927035
TCGA-QR-A706-01	2	2	634	0.068669658
TCGA-QR-A70C-01	0	0	5	0.001051321
